City,Country,Longitude,Latitude,Temperature,Max Temperature,Humidity,Cloudiness,Wind Speed
qandala,SO,49.87,11.47,88.23,88.23,59,18,5.26
zhigansk,RU,123.37,66.77,40.91,40.91,80,2,9.73
toora-khem,RU,96.11,52.47,40.78,40.78,80,1,0.87
laje,BR,-40.97,-10.18,87.21,87.21,31,18,13.33
fairview,US,-74.0,40.81,84.18,87.01,51,1,3.36
mwene-ditu,CD,23.45,-7.0,78.22,78.22,27,6,2.71
muscatine,US,-91.13,41.47,53.8,55.4,93,90,14.99
saint-pierre,RE,55.48,-21.34,67.73,73.4,78,9,11.41
ahipara,NZ,173.17,-35.17,47.17,47.17,84,0,3.65
ixtapa,MX,-105.2,20.7,82.29,84.0,88,90,4.7
bergen,NO,5.33,60.39,53.87,54.0,100,75,10.29
karratha,AU,116.85,-20.74,77.7,77.7,37,0,11.18
trairi,BR,-39.27,-3.28,85.14,85.14,55,51,16.6
eureka,US,-124.16,40.8,62.49,66.2,82,90,3.36
muros,ES,-9.06,42.78,73.0,73.0,43,19,5.01
ishim,RU,69.49,56.11,44.08,44.08,77,12,3.67
manggar,ID,108.27,-2.88,81.1,81.1,81,100,11.52
shirokiy,RU,129.52,49.76,57.07,57.07,93,100,17.65
cafelandia,BR,-49.61,-21.8,87.8,87.8,33,36,9.17
chaman,PK,66.45,30.92,67.73,67.73,22,0,1.7
luoyang,CN,112.45,34.68,73.71,73.71,63,71,3.58
borovoy,RU,86.08,55.43,41.0,41.0,93,40,4.47
djambala,CG,14.75,-2.54,76.08,76.08,72,100,1.74
algiers,DZ,3.04,36.75,73.4,73.4,73,40,9.17
ust-ilimsk,RU,102.66,58.0,43.66,43.66,94,6,3.78
aktash,RU,87.73,50.3,29.16,29.16,95,71,3.49
prichard,US,-88.08,30.74,85.48,87.8,74,75,12.75
ranfurly,NZ,170.1,-45.13,35.73,35.73,82,0,6.78
rantoul,US,-88.16,40.31,81.7,84.0,74,75,8.05
slave lake,CA,-114.77,55.28,60.8,60.8,59,1,16.11
northam,GB,-4.22,51.03,60.64,63.0,93,29,5.99
goderich,CA,-81.72,43.75,57.27,59.0,76,100,15.37
yulara,AU,130.99,-25.24,71.6,71.6,35,0,8.05
ahuimanu,US,-157.84,21.44,79.11,80.6,65,90,12.75
okhotsk,RU,143.3,59.38,47.41,47.41,62,2,9.26
zyryanka,RU,150.85,65.75,40.66,40.66,89,97,6.58
abha,SA,42.51,18.22,70.63,71.6,77,20,5.82
mareeba,AU,145.43,-17.0,65.23,69.8,83,40,13.87
makokou,GA,12.86,0.57,73.94,73.94,82,66,1.66
teano,IT,14.07,41.25,80.08,82.4,61,65,1.01
sembe,CG,14.58,1.65,72.88,72.88,90,74,1.97
sosnogorsk,RU,53.88,63.6,56.61,56.61,96,95,4.18
hualmay,PE,-77.61,-11.1,67.15,67.15,66,50,10.83
ostashkov,RU,33.11,57.15,49.95,49.95,85,51,9.24
kenora,CA,-94.43,49.82,48.0,50.0,61,75,2.24
carballo,ES,-8.69,43.21,71.78,75.2,57,35,5.82
igunga,TZ,33.88,-4.28,77.94,77.94,37,89,9.13
akyab,MM,92.9,20.15,83.17,83.17,81,100,2.95
yenagoa,NG,6.26,4.92,76.08,76.08,91,100,6.06
aswan,EG,32.91,24.09,99.99,99.99,15,0,18.07
mosquera,CO,-74.23,4.71,68.0,68.0,52,40,10.29
koungheul,SN,-14.8,13.98,86.23,86.23,74,42,7.11
asau,RO,26.4,46.43,55.0,55.0,91,49,0.72
gari,RU,62.35,59.43,50.86,50.86,88,19,7.83
chicama,PE,-79.15,-7.84,74.19,74.19,52,48,12.08
neuquen,AR,-68.06,-38.95,64.4,64.4,34,100,6.93
ialibu,PG,143.99,-6.28,54.07,54.07,97,50,1.77
touros,BR,-35.46,-5.2,84.2,84.2,62,40,16.11
gushikawa,JP,127.87,26.35,80.92,82.4,88,75,4.7
talcahuano,CL,-73.12,-36.72,51.8,51.8,100,90,20.8
balkanabat,TM,54.37,39.51,76.23,76.23,16,0,13.2
andenes,NO,16.12,69.31,51.8,51.8,81,75,9.17
pekan,MY,103.4,3.48,78.42,78.8,88,40,2.24
sawtell,AU,153.1,-30.38,54.91,57.2,87,1,9.17
skaerbaek,DK,8.77,55.16,60.51,62.6,87,20,11.41
rudnyy,KZ,63.12,52.96,50.0,50.0,66,2,4.47
naze,JP,129.48,28.37,77.0,77.0,100,40,1.12
dayong,CN,118.29,25.02,78.8,78.8,94,95,2.24
matamoros,MX,-103.25,25.53,82.2,82.4,54,75,9.17
grindavik,IS,-22.43,63.84,48.2,48.2,81,75,5.82
aykhal,RU,111.5,66.0,35.6,35.6,87,0,3.56
carutapera,BR,-46.02,-1.2,87.04,87.04,60,20,12.46
laguna,US,-121.42,38.42,86.14,88.0,13,5,23.04
margate,GB,1.39,51.38,66.45,72.0,80,61,1.99
anan,JP,134.65,33.92,71.6,71.6,78,40,6.93
harwich,GB,1.28,51.94,70.83,73.0,75,64,1.99
seddon,AU,144.89,-37.81,45.34,48.0,100,90,6.93
vestmannaeyjar,IS,-20.27,63.44,48.2,48.2,81,90,14.99
logan,US,-111.83,41.74,47.5,50.0,70,20,3.36
sherman,US,-96.61,33.64,86.54,88.0,62,5,11.41
umm lajj,SA,37.27,25.02,88.43,88.43,55,0,4.83
port lincoln,AU,135.87,-34.73,53.1,53.1,78,99,11.05
biak,ID,122.88,-0.91,76.68,76.68,81,67,7.4
torrevieja,ES,-0.68,37.98,74.77,75.0,67,48,5.99
katangli,RU,143.23,51.71,52.52,52.52,95,100,7.9
temirtau,KZ,72.95,50.05,41.0,41.0,80,60,2.24
visnes,NO,5.22,59.36,56.82,57.99,82,75,19.46
oussouye,SN,-16.55,12.48,82.4,82.4,83,20,6.93
sairang,IN,92.67,23.8,75.9,75.9,90,98,2.08
huaraz,PE,-77.53,-9.53,65.82,65.82,30,39,2.73
juegang,CN,121.19,32.32,71.62,71.62,91,0,9.26
awbari,LY,12.78,26.59,90.45,90.45,13,0,8.34
kysyl-syr,RU,122.76,63.9,41.63,41.63,90,0,1.92
betsiamites,CA,-68.65,48.94,62.49,66.2,58,1,19.46
santa maria,BR,-53.81,-29.68,66.2,66.2,82,75,17.22
pochutla,MX,-96.47,15.74,86.0,86.0,75,99,5.37
bereda,ES,-7.54,43.27,70.03,73.99,63,22,11.01
bend,US,-121.32,44.06,54.03,57.2,28,1,7.92
hanumangarh,IN,74.32,29.58,88.54,88.54,43,0,4.83
tucuman,AR,-65.22,-26.82,78.8,78.8,39,0,9.17
ozark,US,-93.21,37.02,86.4,88.0,59,5,8.16
tumkur,IN,77.1,13.34,73.4,73.4,100,40,6.93
maltahohe,NA,16.98,-24.83,72.37,72.37,20,0,12.21
corrente,BR,-43.34,-3.74,100.62,100.62,22,56,3.0
sinop,TR,34.87,41.77,73.4,73.4,83,40,5.82
longyearbyen,SJ,15.64,78.22,37.4,37.4,69,40,11.41
saint-denis,FR,2.33,48.92,73.49,75.2,57,56,5.82
pitimbu,BR,-34.81,-7.47,84.2,84.2,58,20,12.75
totness,SR,-56.32,5.88,83.32,83.32,79,59,5.59
cozumel,MX,-86.95,20.51,86.86,87.8,70,40,2.62
kloulklubed,PW,134.26,7.04,75.2,75.2,94,75,5.82
nenjiang,CN,125.22,49.18,60.15,60.15,86,100,16.64
dumas,US,-101.97,35.87,42.8,42.8,93,90,27.51
sydney mines,CA,-60.22,46.24,77.18,78.01,78,75,10.29
yamada,JP,141.95,39.47,74.91,74.91,83,43,5.32
nakskov,DK,11.13,54.84,63.32,64.0,80,63,1.99
debre zeyit,ET,38.98,8.75,62.6,62.6,82,75,2.24
igdir,TR,44.05,39.92,78.8,78.8,34,20,23.04
beyneu,KZ,55.2,45.32,66.76,66.76,26,0,7.54
pundaguitan,PH,126.17,6.37,83.84,83.84,68,97,1.92
boulder,US,-105.35,40.08,33.73,37.4,100,90,12.75
coxim,BR,-54.76,-18.51,105.98,105.98,10,56,3.36
harda,IN,77.1,22.33,79.18,79.18,83,100,3.65
baghdad,IQ,44.4,33.34,93.2,93.2,21,0,2.24
sandviken,SE,16.77,60.62,57.0,57.0,66,17,1.99
serik,TR,31.1,36.92,80.6,80.6,78,0,4.7
esperance,AU,121.9,-33.87,48.2,48.2,93,0,13.87
olafsvik,IS,-23.71,64.89,46.2,46.2,67,100,17.34
walvis bay,NA,14.51,-22.96,55.4,55.4,82,19,9.17
coari,BR,-63.14,-4.08,92.82,92.82,37,63,0.58
la rioja,ES,-2.5,42.25,77.0,77.0,25,0,5.82
santa cruz,BO,-63.17,-17.8,84.61,86.0,35,73,2.24
tukrah,LY,20.58,32.53,77.47,77.47,74,0,11.3
ferme-neuve,CA,-75.45,46.7,56.91,56.91,63,96,2.75
udaipur,IN,73.69,24.57,77.29,77.29,75,96,2.57
evanston,US,-87.69,42.04,62.37,64.0,88,90,10.29
mount hagen,PG,144.23,-5.86,56.93,56.93,91,59,1.43
bad kreuznach,DE,7.87,49.83,69.76,72.0,39,1,2.73
aberdeen,GB,-2.1,57.14,65.43,66.2,77,56,16.11
orgita,EE,24.45,58.92,55.0,55.0,99,78,1.01
jeremie,HT,-74.12,18.65,84.15,84.15,71,62,3.18
martapura,ID,114.85,-3.42,73.4,73.4,100,29,2.24
bilibino,RU,166.44,68.05,33.71,33.71,92,95,1.97
mayor pablo lagerenza,PY,-60.77,-19.93,90.19,90.19,31,96,4.45
kotel,BG,26.45,42.88,76.53,77.0,61,5,9.17
baykit,RU,96.37,61.67,45.86,45.86,86,100,2.21
ilulissat,GL,-51.1,69.22,35.6,35.6,80,40,5.82
sumenep,ID,113.87,-7.02,79.88,79.88,83,59,12.39
nigran,ES,-8.81,42.14,72.86,75.2,41,20,9.17
udachnyy,RU,112.4,66.42,38.66,38.66,82,0,3.71
bima,ID,118.72,-8.47,72.57,72.57,86,100,4.34
muli,MV,73.57,2.92,82.85,82.85,80,80,12.28
tatarsk,RU,75.98,55.22,44.33,44.33,94,78,7.7
vostok,RU,135.88,46.49,59.31,59.31,85,76,6.69
sao miguel do iguacu,BR,-54.24,-25.35,74.28,75.2,78,75,3.36
yangjiang,CN,111.97,21.85,78.82,78.82,80,99,2.86
huntington,US,-82.45,38.42,87.76,89.01,48,1,4.7
tabou,CI,-7.35,4.42,76.1,76.1,88,96,13.38
la grande,US,-118.09,45.32,55.78,55.99,30,1,4.7
bouloupari,NC,166.05,-21.87,62.6,62.6,93,90,11.41
kumbo,CM,10.67,6.2,61.99,61.99,96,96,1.86
saint anthony,US,-93.22,45.02,50.7,51.8,62,90,6.93
shelburne,CA,-80.2,44.08,56.05,57.2,82,90,3.36
nicoya,CR,-85.45,10.15,87.8,87.8,62,75,3.36
marawi,PH,124.29,8.0,73.0,73.0,93,84,5.01
coihaique,CL,-72.07,-45.58,48.2,48.2,45,40,9.17
kaka,TM,59.61,37.35,62.92,62.92,25,30,2.71
luanda,AO,13.23,-8.84,77.0,77.0,65,0,12.75
hommelvik,NO,10.79,63.41,52.29,53.6,76,75,16.11
bairiki,KI,172.98,1.33,80.6,80.6,83,75,2.24
